Scalco,Maria,20001,3DCBBCA1CFEC9E9D,F40DCFA8F68F7D98,f,15/2/2003,70059,Spagnola,n,s,,,1,DD38,10
Scalco,Alex,20002,F40DCFA8F68F7D98,3DCBBCA1CFEC9E9D,m,4/8/2006,70034,Albanese,s,n,,,2,FEDD,10
Scalco,Fabio,20003,D3DA7CF7AEB8C2F1,F62DAEB432BB5AF8,m,6/9/2003,70016,Albanese,s,s,,,4,E708,6
Valentini,Fabio,20004,F62DAEB432BB5AF8,D3DA7CF7AEB8C2F1,m,22/10/2000,70050,Arabica,n,s,,,3,7B74,6
Giannini,Emanuele,20005,ECBCC3A4BD0D205C,ECADEFECCEA3DAE2,f,18/9/2009,70018,Arabica,n,s,,,5,2DBF,8
Russo,Maria,20006,ECADEFECCEA3DAE2,ECBCC3A4BD0D205C,f,7/9/2010,70013,Italiana,s,n,,,3,2622,10
Rossi,Fabio,20007,ECDAB6FFF414E2CC,B335EC98418BC6E4,m,14/5/2009,70033,Arabica,s,n,,,5,DE7F,7
Scalco,Antonio,20008,B335EC98418BC6E4,ECDAB6FFF414E2CC,f,7/11/2001,70028,Spagnola,n,n,,,1,5AB8,10
Roberti,Valentina,20009,FFBF7DCFFA3EBC47,ECDAB6FFF414E2CC,m,20/8/2003,70062,Australiana,s,s,,,5,E8A4,6
Rossi,Giuseppe,20010,7797C3D0BFCCFA94,B335EC98418BC6E4,m,8/10/2007,70005,Arabica,s,s,,,1,FB79,8
